id,territorio,leitura,ordem,fonte,status
corpo,corpo,sinais e funcionamento fisiológico,1,consolidação do método 13/09 — a confirmar,rascunho
comportamento,comportamento,"hábitos, rotina, adesão e o que se repete",2,consolidação do método 13/09 — a confirmar,rascunho
mente,mente,"pensamentos, crenças e interpretação da própria realidade",3,consolidação do método 13/09 — a confirmar,rascunho
emocoes,emoções,estados emocionais e a relação entre emoção e comportamento,4,consolidação do método 13/09 — a confirmar,rascunho
sistema_nervoso,sistema nervoso,"estado de alerta, resposta ao estresse e capacidade de mudança",5,consolidação do método 13/09 — a confirmar,rascunho
espirito,espírito,"sentido, valores, propósito e conexão",6,consolidação do método 13/09 — a confirmar,rascunho
ambiente,ambiente,"casa, trabalho, relações e o que torna difícil sustentar a conduta",7,consolidação do método 13/09 — a confirmar,rascunho
historia,história,como esta pessoa chegou até aqui,8,consolidação do método 13/09 — a confirmar,rascunho
